kyoku,rot,step,dora,tehai
1,1,7,5s,3345m5678p11223s4s
1,1,7,8m,223m33678p67788s8s
1,3,4,4z,33579m1135p67s44z8m
1,1,7,4m,34456788m678p34s7m
1,3,3,9s,456799m68p44899s6s
1,3,6,8p,444078p2233456s7s
1,1,7,4p,1234577m467p788s3p
1,4,5,8s,799m67p12245689s2s
1,3,5,2m,557m66788p33667s8p
1,3,7,1m,13567m446p34668s1m
1,1,7,3m,356778m34666p34s5s
1,3,4,3z,122m468899p40s55z3p
